id_modello;nome_modello;gamma;stato_attivo;creato_il;modificato_il
4;ACCORD 40;;VERO;2025-12-07 01:31:13;2025-12-07 01:31:13
5;ACCORD 40FX;;VERO;2025-12-07 01:31:13;2025-12-07 01:31:13
1;RD100NT TVN;;VERO;2025-12-07 01:31:13;2025-12-07 01:31:13
2;RD110NT TVN PR;;VERO;2025-12-07 01:31:13;2025-12-07 01:31:13
3;RECORD 240;;VERO;2025-12-07 01:31:13;2025-12-07 01:31:13
27;A600;Gamma 2025;VERO;2025-12-07 01:20:23;2025-12-07 01:20:23
26;Accord500;Gamma 2025;VERO;2025-12-07 01:19:18;2025-12-07 01:20:46
